FDC ID,Name,Brand,Amount,Energy,Protein,Carbohydrate,Fiber,Sugars,Total lipid,Cholesterol,Vitamin A,Vitamin C,Sodium,Iron,Magnesium,Calcium,Potassium
2017303,UNSALTED BUTTER,KEY FOOD,14 g,22 kcal,0 g,0 g,,,2 g,7 mg,88 iu,,0 mg,,,,
2098756,ALL-PURPOSE FLOUR,HANNAFORD,497 g,182 kcal,5 g,42 g,2 g,2 g,0 g,0 mg,0 iu,0 mg,0 mg,3 mg,,182 mg,
2021609,SUGAR,WEIS,594 g,123 kcal,0 g,33 g,,33 g,0 g,,,,0 mg,,,,
2345737,"VEGETABLE OIL, NFS",,198 g,1782 kcal,0 g,0 g,0 g,0 g,198 g,0 mg,,0 mg,0 mg,0 mg,0 mg,0 mg,0 mg
747997,"EGGS, GRADE A, LARGE, EGG WHITE",,4 units,441 kcal,43 g,9 g,,,0 g,,,,,,,,
2406628,PURE PUMPKIN,FIRST STREET,120 g,5 kcal,0 g,1 g,0 g,0 g,0 g,0 mg,,,1 mg,0 mg,,4 mg,30 mg
1957601,"FINE SEA SALT, FINE",SE GROCERS,10 g,0 kcal,0 g,0 g,,,0 g,0 mg,,,802 mg,,,,
1816654,BAKING SODA,SHURFINE,12 g,0 kcal,0 g,0 g,,,0 g,,,,706 mg,,,,
2012139,BAKING POWDER,RUMFORD,4 g,0 kcal,0 g,0 g,,,0 g,,,,206 mg,,,236 mg,
2072676,GROUND NUTMEG,MI COSTENITA,2 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 mg,0 iu,0 mg,0 mg,0 mg,,0 mg,
1887340,"ROUNDY'S, GROUND ALLSPICE",ROUNDY'S,1 g,0 kcal,0 g,0 g,,0 g,0 g,0 mg,,,0 mg,,,,
2386195,GROUND CINNAMON,COLONNA,2 g,0 kcal,0 g,3 g,0 g,0 g,0 g,0 mg,,,0 mg,0 mg,,34 mg,0 mg
2128958,CLOVES GROUND,SUGAR 'N SPICE,0 g,0 kcal,0 g,0 g,,0 g,0 g,0 mg,,,0 mg,,,,
2346283,"WATER, TAP",,158 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 mg,,0 mg,6 mg,0 mg,2 mg,5 mg,0 mg
,,,,2225 kcal,16 g,82 g,2 g,35 g,200 g,7 mg,88 iu,0 mg,1721 mg,4 mg,2 mg,461 mg,30 mg
